experiment_id,factor_a,factor_b,outcome,main_effect_x1,main_effect_x2,interaction_effect,lpm_beta_0,lpm_beta_1,lpm_beta_2,lpm_beta_3,sample_size,ci_lower,ci_upper,ci_method,effect_size_label,limitations
wininet_x_winhttp,wininet_proxy_enabled,winhttp_direct_access,y_platform_severity,0.2945,0.3245,0.6490,0.2550,-0.0300,0.0000,0.6490,12,-0.2250,0.9040,percentile_bootstrap_cell_contrast,additive_contrast,Do not claim statistical significance without adequate sample size and assumptions. | Designed ground-truth severity may not match platform classifier response.
wininet_x_winhttp,wininet_proxy_enabled,winhttp_direct_access,y_platform_failure,0.5000,0.5000,1.0000,0.0000,0.0000,0.0000,1.0000,12,0.0000,1.0000,percentile_bootstrap_cell_contrast,additive_contrast,Do not claim statistical significance without adequate sample size and assumptions. | Designed ground-truth severity may not match platform classifier response.
proxy_x_listener,proxy_enabled,listener_present,y_severity,0.3750,-0.1250,-0.3500,-0.0000,0.5500,0.0500,-0.3500,12,-0.6000,0.2000,percentile_bootstrap_cell_contrast,additive_contrast,Do not claim statistical significance without adequate sample size and assumptions. | Designed ground-truth severity may not match platform classifier response.
proxy_x_listener,proxy_enabled,listener_present,y_failure,0.5000,-0.5000,-1.0000,0.0000,1.0000,0.0000,-1.0000,12,-1.0000,0.0000,percentile_bootstrap_cell_contrast,additive_contrast,Do not claim statistical significance without adequate sample size and assumptions. | Designed ground-truth severity may not match platform classifier response.
proxy_x_listener,proxy_enabled,listener_present,y_platform_severity,0.3395,-0.3695,-0.7390,0.2550,0.7090,0.0000,-0.7390,12,-0.9940,0.2250,percentile_bootstrap_cell_contrast,additive_contrast,Do not claim statistical significance without adequate sample size and assumptions. | Designed ground-truth severity may not match platform classifier response.
proxy_x_listener,proxy_enabled,listener_present,y_platform_failure,0.5000,-0.5000,-1.0000,0.0000,1.0000,0.0000,-1.0000,12,-1.0000,0.0000,percentile_bootstrap_cell_contrast,additive_contrast,Do not claim statistical significance without adequate sample size and assumptions. | Designed ground-truth severity may not match platform classifier response.
dns_x_proxy,dns_fault,proxy_fault,y_severity,0.4100,0.4700,-0.0200,0.0000,0.4200,0.4800,-0.0200,12,-0.9000,0.4600,percentile_bootstrap_cell_contrast,additive_contrast,Do not claim statistical significance without adequate sample size and assumptions. | Designed ground-truth severity may not match platform classifier response.
dns_x_proxy,dns_fault,proxy_fault,y_failure,0.5000,0.5000,-1.0000,0.0000,1.0000,1.0000,-1.0000,12,-2.0000,0.0000,percentile_bootstrap_cell_contrast,additive_contrast,Do not claim statistical significance without adequate sample size and assumptions. | Designed ground-truth severity may not match platform classifier response.
dns_x_proxy,dns_fault,proxy_fault,y_platform_severity,0.3050,0.4040,-0.6100,0.2550,0.6100,0.7090,-0.6100,12,-1.5740,0.3540,percentile_bootstrap_cell_contrast,additive_contrast,Do not claim statistical significance without adequate sample size and assumptions. | Designed ground-truth severity may not match platform classifier response.
dns_x_proxy,dns_fault,proxy_fault,y_platform_failure,0.5000,0.5000,-1.0000,0.0000,1.0000,1.0000,-1.0000,12,-2.0000,0.0000,percentile_bootstrap_cell_contrast,additive_contrast,Do not claim statistical significance without adequate sample size and assumptions. | Designed ground-truth severity may not match platform classifier response.
listener_x_process,listener_present,trusted_process_attribution,y_severity,-0.2500,-0.1500,-0.3000,0.5500,-0.1000,-0.0000,-0.3000,12,-0.8500,0.2500,percentile_bootstrap_cell_contrast,additive_contrast,Do not claim statistical significance without adequate sample size and assumptions. | Designed ground-truth severity may not match platform classifier response.
listener_x_process,listener_present,trusted_process_attribution,y_failure,-0.5000,-0.5000,-1.0000,1.0000,0.0000,0.0000,-1.0000,12,-2.0000,0.0000,percentile_bootstrap_cell_contrast,additive_contrast,Do not claim statistical significance without adequate sample size and assumptions. | Designed ground-truth severity may not match platform classifier response.
listener_x_process,listener_present,trusted_process_attribution,y_platform_severity,-0.7540,0.0150,0.0300,0.9640,-0.7690,0.0000,0.0300,12,-0.9340,0.9940,percentile_bootstrap_cell_contrast,additive_contrast,Do not claim statistical significance without adequate sample size and assumptions. | Designed ground-truth severity may not match platform classifier response.
listener_x_process,listener_present,trusted_process_attribution,y_platform_failure,-1.0000,0.0000,0.0000,1.0000,-1.0000,0.0000,0.0000,12,-1.0000,1.0000,percentile_bootstrap_cell_contrast,additive_contrast,Do not claim statistical significance without adequate sample size and assumptions. | Designed ground-truth severity may not match platform classifier response.
